DATE,TIME,VISALBEDOCAL,SWIRALBEDOCAL,TIRALBEDOCAL,CAMTEMPERATURE,SWIRTEMPERATURE,AMBTEMPERATURE,EXTTEMPERATURE,WDS/PIX,HDRWDS,XTABXLATE,YTABXLATE,GXPOS,GYPOS,GXLGTH,GXNO.,GYLGTH,GYNO.,FXLGTH,FROMDEPTH,TODEPTH,DEPTHINTERVAL,TRAYTYPE,WVLSTART,WVLEND,TOPVIS,XSPEED,PIXRATE,PIXMM,TOTINTSEC/PIX,BASEHT,PROFILPOSOFFSMM,PROFILRATIO,CAMPOSOFFSMM,CAMXFOVMM,CAMYFOVMM,CAMREFEDGE,CAMHT,YINCRCORE,COREHT,YWIDTH,XSTEPSIZE,TWDSPIX,THDRWDS,TIROFFSMM,TRAYTIM,FFOFFS,FCONSTANT,FROFFS,SPEEDCAL,XACCEL,TWVLST,TWVLEND,CASEID,TRAYTYPE.1,FILENAME,EXECUTABLE,COMMENT,LOGGER,SPECSERNO,SWVERSION,TRAYNOTE
12/04/2019,9:52:57 AM,19506.16016,0.0242984,0.0601344,21.0846462,17.4974461,19.493597,0.1007247,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4384.466797,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\12Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
12/04/2019,2:44:59 PM,19494.63086,0.0198448,0.0575932,24.0286655,21.300272,22.5154819,0.1065909,536,5,255.5,555,0,50,383,8,160,3,1,2,3,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4389.287109,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\12Apr2019\TESTROCKS&3.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
30/04/2019,2:24:29 PM,19424.81836,0.0245413,0.0578528,22.7704258,20.4648056,21.199379,0.0975015,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4393.521484,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\30Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
30/04/2019,4:05:43 PM,19366.51563,0.0245714,0.0572788,23.95228,21.4484196,22.5252209,0.1053175,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4395.195801,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\30Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
1/05/2019,10:46:45 AM,19882.39258,0.0252138,0.058069,23.1477013,20.3826866,21.6686649,0.1002364,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4396.671387,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\01May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
1/05/2019,3:35:18 PM,19849.06445,0.0250355,0.0574592,23.8802128,21.7148762,22.4836674,0.1083176,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4401.479004,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\01May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
2/05/2019,10:09:18 AM,19888.02344,0.0239359,0.0601082,21.3904915,17.921278,19.8071537,0.1203588,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4402.394043,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\02May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
2/05/2019,3:02:37 PM,14844.70605,0.0172931,0.0571228,23.710083,21.8296642,22.3172741,0.1115669,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4407.068848,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\02May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
2/05/2019,3:47:02 PM,14868.54492,0.0171941,0.0571901,24.2365723,21.8640079,22.7378521,0.1009841,536,5,255.5,555,0,50,383,8,160,3,1,2,3,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4407.808594,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\02May2019\TESTROCKS&3.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
3/05/2019,9:30:42 AM,19537.59766,0.0243233,0.0589103,22.3177204,18.9690781,20.7767105,0.1037445,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4409.526856,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\03May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
