HyLogger,Scan_Date,Dataset_file,6245_mean,6245_stddev,6698_mean,6698_stddev,8661_mean,8661_stddev,9353_mean,9353_stddev,9724_mean,9724_stddev,11028_mean,11028_stddev,11875_mean,11875_stddev,13228_mean,13228_stddev,samples
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,6249.87,0.701668,6701.21,0.629656,8657.16,1.22795,9350.35,0.766835,9727.68,0.787616,11018.8,0.408523,11873.6,1.9762,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,6249.74,1.07807,6701.15,0.410047,8657.19,1.11425,9350.17,0.93654,9727.63,0.649861,11018.6,0.968929,11873.8,1.42399,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,6249.87,0.701668,6701.21,0.629656,8657.16,1.22795,9350.35,0.766835,9727.68,0.787616,11018.8,0.408523,11873.6,1.9762,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,6249.74,1.07807,6701.15,0.410047,8657.19,1.11425,9350.17,0.93654,9727.63,0.649861,11018.6,0.968929,11873.8,1.42399,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,6249.87,0.701668,6701.21,0.629656,8657.16,1.22795,9350.35,0.766835,9727.68,0.787616,11018.8,0.408523,11873.6,1.9762,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,6249.74,1.07807,6701.15,0.410047,8657.19,1.11425,9350.17,0.93654,9727.63,0.649861,11018.6,0.968929,11873.8,1.42399,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
HyLogger 3-3,2021-09-28 09:39:15,C:\Lingbo\IanLau\runtsg\working\28September2021-TestrocksAM280921_1_tsgtray_tir,6247.47,0.352194,6698.8,0.566058,8654.69,1.27619,9346.87,1.44669,9723.48,1.21857,11012.5,0.680513,11869.6,0.423633,13179.2,39.2832,6
HyLogger 3-2,2021-08-02 15:41:28,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_02-TestRockspm_1_tsgtray_tir,6246.64,0.428639,6698.6,0.759985,8654.26,0.509557,9346.71,1.03851,9723.79,0.817271,11013.2,1.71645,11871,1.27018,13157.1,53.4522,7
HyLogger 3-2,2021-08-03 15:43:52,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_03-TestRockspm_1_tsgtray_tir,6246.82,0.585867,6698.72,0.205863,8654.46,1.15413,9347.18,1.05855,9724.04,0.307689,11013.8,0.526999,11871.1,1.44254,13173.2,45.9015,7
HyLogger 3-2,2021-08-05 15:27:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_05-TestRockspm_1_tsgtray_tir,6246.95,0.755163,6698.67,0.258994,8654.44,1.07824,9347.21,0.835238,9723.94,0.777106,11013.7,1.08614,11871.3,1.08503,13158.3,45.9202,7
HyLogger 3-2,2021-08-06 15:38:01,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_06-TestRockspm_1_tsgtray_tir,6246.96,0.329093,6698.69,0.175199,8654.43,1.26177,9346.84,0.717821,9723.99,0.776535,11013.9,1.23112,11872,1.71989,13170.8,45.2191,7
HyLogger 3-2,2021-08-09 15:40:57,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_09-TestRockspm_1_tsgtray_tir,6246.9,0.240463,6698.67,0.83194,8654.42,1.03714,9347.19,0.860735,9724.06,1.43332,11013.9,0.676802,11871.2,1.45746,13160.7,49.201,7
HyLogger 3-2,2021-08-10 15:31:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_10-TestRockspm_1_tsgtray_tir,6246.9,0.483656,6698.62,0.393006,8654.4,0.801807,9346.97,0.767927,9724,0.930522,11013.7,1.18877,11871.4,0.5204,13168.8,48.5894,7
HyLogger 3-2,2021-08-12 15:39:54,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_12-TestRockspm_1_tsgtray_tir,6246.8,0.704269,6698.79,0.650289,8654.47,0.464677,9346.93,1.31719,9723.92,0.786308,11013.6,0.305233,11871.5,1.63169,13167.9,97.3241,7
HyLogger 3-2,2021-08-13 14:55:33,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_1_tsgtray_tir,6247.03,1.06179,6698.52,0.274762,8654.48,1.61097,9347.05,0.475934,9723.93,1.15541,11013.9,0.5221,11871.7,1.19142,13165,47.9661,6
HyLogger 3-2,2021-08-13 15:48:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_2_tsgtray_tir,6246.92,0.476557,6698.74,0.302307,8654.54,0.943707,9347.28,1.00578,9723.99,0.322974,11013.9,0.863571,11871.6,1.0281,13175,47.3445,7
HyLogger 3-2,2021-08-16 15:37:50,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-TestRockspm_1_tsgtray_tir,6246.96,0.687577,6698.74,0.854863,8654.36,1.44899,9347.16,0.845162,9723.93,0.180189,11014.1,0.743749,11871.5,1.4247,13196.4,48.2609,7
HyLogger 3-2,2021-08-17 15:28:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_17-TestRockspm_1_tsgtray_tir,6246.94,0.274626,6698.77,0.851067,8654.43,0.357889,9347.06,0.176705,9724.04,1.38435,11013.8,0.527717,11871.5,0.878201,13196.4,92.6415,7
HyLogger 3-2,2021-08-19 15:41:05,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_19-TestRockspm_1_tsgtray_tir,6246.77,0.403837,6698.69,0.751985,8654.38,0.434448,9347.1,1.2463,9723.97,1.09213,11013.8,0.393448,11871.5,1.71524,13180.4,83.2057,7
HyLogger 3-2,2021-08-20 15:45:26,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_20-TestRockspm_1_tsgtray_tir,6246.98,0.582007,6698.66,0.35692,8654.45,1.18172,9347.04,0.875959,9724,1.01422,11013.8,1.40968,11871.5,1.59221,13146.4,54.3671,7
HyLogger 3-2,2021-08-23 15:41:39,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_23-TestRockspm_1_tsgtray_tir,6246.99,0.69006,6698.73,0.35287,8654.4,1.63357,9346.8,0.503977,9724,0.570545,11014,1.23944,11871.1,0.960397,13173.2,50.2289,7
HyLogger 3-2,2021-08-26 15:44:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_26-TestRockspm_1_tsgtray_tir,6246.9,0.914788,6698.71,0.880406,8654.42,0.023243,9347.15,1.29421,9724.07,0.228078,11013.7,0.670478,11871.4,0.444774,13200,107.294,7
HyLogger 3-2,2021-08-27 15:35:07,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_27-TestRockspm_1_tsgtray_tir,6246.86,0.980091,6698.68,0.668648,8654.44,0.879133,9347.19,0.820496,9723.9,1.25116,11014.1,0.280404,11871.4,0.285151,13160.4,88.9123,7
HyLogger 3-2,2021-08-30 15:24:48,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_30-TestRockspm_1_tsgtray_tir,6246.85,0.669796,6698.67,0.587273,8654.48,0.147215,9347.05,0.079564,9723.96,1.22789,11013.9,1.24138,11871,1.59356,13154.2,50.4457,7
HyLogger 3-2,2021-08-31 15:26:11,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_31-TestRockspm_1_tsgtray_tir,6246.97,0.622413,6698.7,0.305921,8654.44,0.256308,9347.13,1.06454,9724.02,1.05604,11013.9,0.823237,11871.4,1.26739,13167.9,88.9493,7
HyLogger 3-2,2021-07-08 15:19:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_08-TestRockspm_1_tsgtray_tir,6247.04,0.424376,6698.57,0.86476,8654.51,1.40565,9347.26,0.998797,9723.89,1.47492,11013.8,1.49068,11871,1.26812,13145,50.505,5
HyLogger 3-2,2021-07-09 15:29:46,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_09-TestRockspm_1_tsgtray_tir,6247.01,0.641254,6698.76,0.587344,8654.46,0.569144,9346.94,0.564328,9724.05,0.814612,11013.7,0.873111,11871,0.565211,13191.7,91.738,7
