HyLogger,Scan_Date,Dataset_file,Mylar_1128.7,Mylar_1659.9,Mylar_1904.6,Mylar_2130.8,Mylar_2255.3,Mylar_2331.0,Mylar_2444.5,Pyro_ 951.0,Pyro_1235.0,Pyro_1394.0,Pyro_2082.0,Pyro_2168.0,Pyro_2322.0,Kaolin_1414.0,Kaolin_1913.0,Kaolin_2209.0,Talc_ 729.0,Talc_ 950.0,Talc_1279.0,Talc_1393.0,Talc_1532.0,Talc_2013.0,Talc_2132.0,Talc_2230.0,Talc_2313.0,Talc_2391.0,Talc_2467.0
HyLogger 3-5,2021-04-20 08:55:13,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_1_tsgtray,1130.8,1659.6,1907.8,2131.1,2254.5,2331.4,2444.4, 952.2,1232.2,1393.4,   0.0,2166.5,2320.9,1414.3,1913.8,2207.9,   0.0,   0.0,   0.0,1392.1,1531.9,2012.2,2131.6,2228.7,2310.6,2388.4,2466.8
HyLogger 3-5,2021-04-20 08:58:46,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_2_tsgtray,1131.1,1659.7,1907.8,2131.1,2254.9,2331.9,2444.3, 952.2,1232.3,1393.3,2078.4,2166.5,2321.1,1414.3,1912.7,2207.8,   0.0, 951.2,   0.0,1392.1,1531.9,2012.2,2132.7,2228.7,2310.9,2388.3,2466.8
HyLogger 3-5,2021-04-20 14:03:46,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_3_tsgtray,1131.1,1659.7,1906.7,2131.0,2255.4,2331.7,2444.6, 952.1,1232.5,1393.4,2078.9,2166.6,2320.0,1414.4,1912.7,2208.0,   0.0,   0.0,   0.0,1392.1,1531.9,2012.1,2132.7,2228.7,2310.7,2387.7,2466.8
HyLogger 3-5,2021-04-20 14:06:56,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_4_tsgtray,1130.9,1659.7,1907.2,2130.9,2255.0,2331.6,2444.1, 952.4,1232.6,1393.3,2078.6,2166.6,2321.5,1414.3,1912.2,2208.0,   0.0, 951.2,   0.0,1392.1,1531.9,2012.2,2132.6,2228.7,   0.0,2388.0,2466.8
HyLogger 3-5,2021-04-27 10:39:58,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_1_tsgtray,   0.0,1659.7,1907.2,2131.0,2255.8,2331.6,2444.2, 952.5,1232.7,1393.4,2078.6,2166.8,2320.5,1414.3,1913.7,2207.8,   0.0, 950.9,   0.0,1392.1,1531.8,2012.2,2131.6,2228.6,   0.0,2387.8,2466.9
HyLogger 3-5,2021-04-27 10:43:20,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_2_tsgtray,   0.0,1660.1,1906.8,2131.1,2255.3,2331.9,2444.3, 952.3,1232.7,1393.4,2078.3,2166.7,2321.0,1414.2,1913.3,2208.0,   0.0, 951.3,   0.0,1392.1,1531.8,2012.2,2131.6,2228.7,   0.0,2387.7,2466.8
HyLogger 3-5,2021-04-27 13:09:48,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_3_tsgtray,1130.6,1659.7,1906.7,2131.1,2254.6,2331.6,2444.5, 952.0,1232.7,1393.4,2078.9,2166.7,2321.1,1414.3,1911.1,2207.8,   0.0, 951.3,   0.0,1392.1,1531.9,2012.2,2131.6,2228.6,   0.0,2387.7,2466.8
HyLogger 3-5,2021-04-27 13:13:33,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_4_tsgtray,1130.6,1659.7,1907.0,2131.1,2254.9,2331.7,2444.5, 952.4,1232.7,1393.4,2078.4,2166.6,2320.9,1414.2,1912.1,2207.8,   0.0, 951.2,   0.0,1392.1,1531.9,2012.2,2131.5,2228.6,2310.4,2387.6,2466.8
HyLogger 3-5,2021-04-28 08:41:57,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_1_tsgtray,1130.5,1659.7,1907.1,2131.1,2255.3,2331.9,2444.5, 952.2,1232.8,1393.3,2079.0,2166.4,2320.5,1414.4,1914.6,2207.7,   0.0, 951.2,   0.0,1392.1,1531.8,2012.1,2131.6,2228.6,   0.0,2388.3,2466.8
HyLogger 3-5,2021-04-28 08:50:52,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_2_tsgtray,1130.4,1659.7,1906.6,2131.0,2254.8,2332.0,2444.7, 952.4,1232.4,1393.3,2078.3,2166.6,2320.6,1414.4,1914.0,2208.1,   0.0, 951.2,   0.0,1392.1,1531.8,2012.1,2131.5,2228.6,2310.6,2387.7,2466.8
HyLogger 3-5,2021-04-28 14:39:31,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_3_tsgtray,   0.0,1659.7,1907.3,2131.1,2257.8,2331.3,2444.9, 952.2,1232.6,1393.3,2078.8,2166.5,2320.4,1414.3,1913.0,2207.9,   0.0,   0.0,   0.0,1392.1,1531.9,2012.2,2131.6,2228.6,2310.7,2387.5,2466.9
HyLogger 3-5,2021-04-28 14:41:43,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_4_tsgtray,   0.0,1659.9,1907.2,2131.0,2255.5,2331.2,2444.3, 952.3,1232.5,1393.3,2078.5,2166.6,2321.5,   0.0,1912.6,2207.9,   0.0, 951.3,   0.0,1392.1,1531.8,2012.1,2132.7,2228.6,   0.0,2387.8,2466.8
HyLogger 3-5,2021-04-29 08:23:15,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_1_tsgtray,   0.0,1659.8,1906.5,2131.0,2255.4,2331.9,2444.3, 952.2,   0.0,1393.3,2078.7,2166.5,2320.5,1414.2,1913.8,2207.8,   0.0, 951.3,   0.0,1392.1,1531.9,2012.2,2131.4,2228.6,   0.0,2387.7,2466.8
HyLogger 3-5,2021-04-29 08:25:47,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_2_tsgtray,1130.5,1659.6,1907.7,2131.1,2254.8,2331.4,2444.6, 952.2,1232.7,1393.4,2077.9,2166.6,2321.1,1414.2,1915.8,2208.0,   0.0,   0.0,   0.0,1392.1,1531.9,2012.2,2131.6,2228.6,2310.5,2388.6,2466.8
HyLogger 3-5,2021-04-29 08:46:05,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_3_tsgtray,1130.4,1659.7,1906.6,2131.0,2255.8,2331.7,2444.3, 952.7,1232.5,1393.4,2077.8,2166.6,2321.5,1414.2,1913.1,2208.0,   0.0, 951.2,   0.0,1392.1,1531.9,2012.2,2131.6,2228.6,   0.0,2388.0,2466.8
